Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
east_ayrshire_2017_ward8.csv,"[3, 8, 7, 4]","[3, 8, 7, 4]","[3, 8, 5, 7]","[3, 6, 7, 8]","[3, 7, 8, 6]","[3, 8, 7, 5]","[3, 5, 7, 8]"
east_dunbartonshire_2012_ward2.csv,"[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]"
east_dunbartonshire_2017_ward6.csv,"[8, 3, 1]","[8, 3, 1]","[8, 3, 1]","[1, 3, 8]","[3, 8, 1]","[3, 8, 1]","[1, 3, 8]"
east_dunbartonshire_2022_ward4.csv,"[1, 5, 4, 8]","[1, 5, 4, 8]","[1, 5, 4, 8]","[1, 4, 5, 6]","[5, 1, 4, 6]","[1, 5, 6, 8]","[1, 4, 5, 8]"
east_lothian_2017_ward2.csv,"[1, 4, 5, 3]","[1, 4, 5, 3]","[1, 4, 5, 3]","[1, 3, 4, 5]","[4, 3, 1, 5]","[4, 1, 3, 5]","[1, 3, 4, 5]"
east_lothian_2017_ward3.csv,"[1, 7, 6, 5]","[1, 7, 5, 6]","[1, 7, 6, 2]","[1, 5, 6, 7]","[1, 7, 5, 6]","[7, 1, 2, 6]","[1, 2, 6, 7]"
east_lothian_2022_ward2.csv,"[2, 8, 6, 3]","[2, 8, 6, 3]","[2, 8, 6, 3]","[2, 3, 6, 8]","[8, 3, 2, 6]","[8, 2, 3, 6]","[2, 3, 6, 8]"
east_lothian_2022_ward4.csv,"[1, 7, 5]","[1, 7, 5]","[1, 7, 5]","[1, 5, 7]","[7, 6, 1]","[6, 7, 3]","[1, 5, 7]"
east_renfrewshire_2012_ward2.csv,"[1, 2, 7, 3]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 2, 5, 7]","[2, 1, 8, 5]","[2, 1, 7, 3]","[1, 2, 3, 7]"
east_renfrewshire_2017_ward1.csv,"[5, 4, 1, 3]","[5, 1, 4, 3]","[5, 1, 4, 3]","[1, 3, 4, 5]","[5, 3, 4, 1]","[5, 3, 4, 1]","[1, 3, 4, 5]"
