Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
edinburgh_2012_ward10.csv,"[7, 2, 6, 3]","[7, 2, 6, 3]","[2, 3, 6, 7]","[2, 3, 6, 7]","[7, 6, 2, 1]"
edinburgh_2012_ward13.csv,"[5, 1, 3]","[5, 1, 3]","[1, 3, 5]","[1, 3, 5]","[5, 4, 1]"
edinburgh_2012_ward2.csv,"[3, 4, 5]","[3, 4, 5]","[3, 4, 5]","[3, 4, 5]","[3, 4, 5]"
edinburgh_2012_ward5.csv,"[4, 1, 2, 6]","[4, 1, 2, 6]","[1, 2, 4, 6]","[1, 2, 4, 6]","[4, 6, 2, 1]"
edinburgh_2012_ward7.csv,"[4, 6, 7, 3]","[4, 6, 7, 3]","[1, 2, 4, 6]","[1, 2, 4, 6]","[6, 4, 7, 3]"
edinburgh_2012_ward8.csv,"[6, 1, 4]","[6, 1, 4]","[2, 4, 6]","[2, 4, 6]","[6, 1, 2]"
edinburgh_2017_ward16.csv,"[1, 7, 2, 4]","[1, 7, 2, 4]","[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 7, 2, 6]"
edinburgh_2017_ward17.csv,"[4, 5, 2, 3]","[4, 5, 2, 3]","[2, 3, 4, 5]","[2, 3, 4, 5]","[4, 2, 5, 3]"
edinburgh_2017_ward2.csv,"[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 3, 4, 6]"
edinburgh_2017_ward6.csv,"[1, 2, 5]","[1, 2, 5]","[1, 2, 5]","[1, 2, 5]","[1, 2, 5]"
edinburgh_2022_ward10.csv,"[4, 5, 7, 3]","[4, 5, 7, 3]","[3, 4, 5, 7]","[3, 4, 5, 7]","[7, 5, 4, 3]"
edinburgh_2022_ward6.csv,"[1, 3, 7]","[1, 3, 7]","[1, 4, 7]","[1, 4, 7]","[1, 3, 7]"
edinburgh_2022_ward8.csv,"[1, 6, 2]","[1, 6, 2]","[1, 2, 6]","[1, 2, 6]","[1, 6, 2]"
edinburgh_2022_ward9.csv,"[1, 7, 3]","[1, 7, 3]","[1, 3, 7]","[1, 3, 7]","[1, 5, 7]"
eilean_siar_2012_ward4.csv,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[6, 1, 3]"
eilean_siar_2012_ward5.csv,"[7, 3, 4]","[3, 7, 4]","[3, 6, 7]","[3, 6, 7]","[3, 6, 7]"
eilean_siar_2012_ward6.csv,"[7, 6, 1, 4]","[7, 6, 1, 4]","[2, 4, 6, 7]","[2, 4, 6, 7]","[7, 6, 1, 4]"
eilean_siar_2022_ward10.csv,"[7, 3, 5, 6]","[7, 3, 5, 6]","[3, 5, 6, 7]","[3, 5, 6, 7]","[7, 3, 5, 2]"
falkirk_2012_ward7.csv,"[1, 2, 3, 6]","[1, 2, 3, 6]","[1, 2, 4, 6]","[1, 2, 4, 6]","[2, 1, 3, 6]"
falkirk_2017_ward4.csv,"[2, 4, 7, 3]","[2, 4, 7, 3]","[2, 3, 4, 6]","[2, 3, 4, 6]","[4, 2, 3, 7]"
falkirk_2017_ward9.csv,"[4, 6, 3]","[4, 6, 3]","[3, 4, 6]","[3, 4, 6]","[4, 3, 6]"
falkirk_2022_ward3.csv,"[2, 1, 5, 7]","[2, 1, 5, 7]","[2, 3, 5, 7]","[2, 3, 5, 7]","[2, 1, 5, 7]"
falkirk_2022_ward4.csv,"[1, 2, 7, 3]","[1, 2, 7, 3]","[1, 2, 3, 7]","[1, 2, 3, 7]","[2, 1, 7, 3]"
falkirk_2022_ward6.csv,"[2, 6, 7, 3]","[2, 6, 7, 4]","[2, 3, 6, 7]","[2, 3, 6, 7]","[6, 2, 7, 4]"
falkirk_2022_ward8.csv,"[3, 4, 2]","[3, 4, 2]","[2, 3, 4]","[2, 3, 4]","[3, 2, 4]"
fife_2012_ward11.csv,"[1, 7, 5]","[1, 7, 5]","[1, 5, 7]","[1, 5, 7]","[1, 7, 5]"
fife_2012_ward13.csv,"[1, 2, 5]","[1, 2, 5]","[1, 2, 5]","[1, 2, 5]","[1, 5, 2]"
fife_2012_ward16.csv,"[2, 6, 5]","[2, 6, 5]","[2, 5, 6]","[2, 5, 6]","[6, 2, 5]"
fife_2012_ward17.csv,"[2, 3, 1]","[2, 3, 1]","[1, 2, 3]","[1, 2, 3]","[2, 3, 1]"
fife_2012_ward3.csv,"[3, 5, 7, 2]","[3, 5, 7, 2]","[1, 2, 3, 5]","[1, 2, 3, 5]","[3, 2, 5, 7]"
fife_2012_ward4.csv,"[4, 5, 6, 3]","[4, 5, 6, 3]","[3, 4, 5, 6]","[3, 4, 5, 6]","[6, 4, 5, 3]"
fife_2012_ward6.csv,"[4, 2, 7, 3]","[4, 2, 3, 7]","[2, 3, 4, 7]","[2, 3, 4, 7]","[4, 7, 2, 5]"
fife_2017_ward10.csv,"[1, 6, 7]","[1, 6, 7]","[1, 5, 6]","[1, 5, 6]","[1, 6, 7]"
fife_2017_ward16.csv,"[5, 3, 6]","[5, 3, 6]","[3, 5, 6]","[3, 5, 6]","[5, 3, 6]"
fife_2017_ward17.csv,"[1, 2, 7]","[1, 2, 7]","[1, 2, 4]","[1, 2, 4]","[1, 2, 7]"
fife_2017_ward19.csv,"[6, 2, 7]","[6, 2, 7]","[2, 6, 7]","[2, 6, 7]","[6, 7, 5]"
fife_2017_ward2.csv,"[2, 3, 7]","[2, 3, 7]","[2, 3, 7]","[2, 3, 7]","[3, 7, 2]"
fife_2017_ward4.csv,"[6, 1, 4, 7]","[6, 1, 4, 7]","[1, 3, 4, 6]","[1, 3, 4, 6]","[6, 3, 4, 1]"
